id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,detailed_title,food_pairing,character,grape_variety,country_detail,region,producer,year,volume_detail,alcohol_detail,detailed_description,detailed_price,image_urls,food_pairing,character,grape_variety
109876,Battenfeld Spanier Spätburgunder Trocken,"Since the Middle Ages, the southern Wonnegau has been recognized for having a growing climate unlike any other in Germany. Grape varieties that struggle elsewhere have been shown to thrive here, with Spätburgunder (Pinot Noir) as a prime example.Our estate-level Spätburgunder is matured in third and fourth-fill barrique, lending it the delicate fruitiness and earthy spice for which it is renowned.We carefully monitor the ripeness levels of the grapes to ensure a juicy freshness and cool, linear character. Fragrant notes of red berries and cassis open the nose, followed by dark fruits layered with an elegant herbal freshness. The palate is dry, bright and juicy with a delicate spice on the finish.VDP Member since 2008.https://www.vdp.de/en/die-winzer/rheinhessen/vdpweingut-battenfeld-spanier",19.95,,,Battenfeld Spanier,,,,/owif/images/109876?size=300,,,,,,,,,,,,,,,,"Sallader, vegetariskt Ostar Gris",Medelfylligt,Pinot Noir
109503,Beronia Gran Reserva,"Beronia Gran Reserva 2010 is a deep maroon colour. On the nose it displays many differentaromas, from fruit such as strawberry and blackberry to cocoa and black liquorice, withnotes of cedar reminiscent of the wood in its natural environment and notes of mentholthat add tremendous freshness. It delivers distinct notes of fruit and nuts on the palate,which provide structure and tannin. The wine is long, very complex, balanced and alsosophisticated. ",18.95,,,Beronia,,,,/owif/images/109503?size=300,,,,,,,,,,,,,,,,Lamm Vilt Ostar Biff,Kraftigt,Tempranillo Graciano
109731,Beronia Reserva,"Beronia Reserva 2014 is a deep black plum colour, clean and bright with a garnet rim. Attractive and intriguing on the nose it displays nutty aromas – roasted almonds, walnuts – followed by notes of plum primarily but also ripe fruit and a pleasant hint of white pepper, which all add complexity and freshness. Full bodied the palate, the wine displays balanced acidity. Theflavours are motly of ripe fruit, whilst the finish is sweet and smooth, bringing to mind cacao and roasted hazelnuts. This is a delicious wine, best enjoyed unhurriedly.",13.95,,,Beronia,,,,/owif/images/109731?size=300,,,,,,,,,,,,,,,,Grillat Ostar,Fylligt,Tempranillo Graciano Mazuelo
110196,Billebeino Negroamaro,"Ett Riserva-klassificerat rödvin av druvsorten Negroamaro som kommer från regionen Salice Salentino i provinsen Apulien.  Den har lagrats på ekfat i 12 månader och har en raffinerad, utvecklad profil och en munsmekande behaglig rikedom.",10.95,,,Billebeino Wine,,,,/owif/images/110196?size=300,,,,,,,,,,,,,,,,Grillat Biff,,Negroamaro
109498,Black Cottage Pinot Noir,"Intensiv doft av körsbär, jordgubbe och hallon med nyans av viol, stjärnanis och rose peppar.Friskt, fruktigt medelfylligt vin med lena tanniner, viss kryddighet och noter av mörk frukt och lakrits. Lång och silkeslen eftersmak.",16.5,,,Black Cottage Wines ,,,,/owif/images/109498?size=300,,,,,,,,,,,,,,,,"Skaldjur Kyckling, kalkon Vilt Ostar",Medelfylligt,Pinot Noir
118057,Black Cottage Sauvignon Blanc,"Intensiva aromer av sitrusfrukt, kiwi, krusbär, litchi och röd spanskpeppar leder till en rik, torr smak fylld med saftig syra. I smaken inslag av svarta vinbärsblad, krusbär och cantaloupe melon. Lång, frisk eftersmak av citrus och örter.",13.5,,,Black Cottage Wines ,,,,/owif/images/118057?size=300,,,,,,,,,,,,,,,,"Sallader, vegetariskt Skaldjur",Torrt,Sauvignon Blanc
118743,Black Tower Riesling BIB,"Torr, hög syra, citruskaraktär, inslag av gröna äpplen, lätt vitvinbärston, svag blommighet ",21.95,,,Black Tower,,,,/owif/images/118743?size=300,,,,,,,,,,,,,,,,"Kyckling, kalkon Fiskrätter Aperitif, sällskapsvin",Torrt,Riesling
117379,Bonterra Chardonnay,"Torr, medelhög syra, honungskaraktär, tropisk fruktighet, inslag av gröna äpplen",11.95,,,Bonterra,,,,/owif/images/117379?size=300,,,,,,,,,,,,,,,,"Sallader, vegetariskt Kyckling, kalkon Fiskrätter",Torrt,Chardonnay
107499,Bonterra Zinfandel,"Medelfyllig, medelhöga tanniner, tranbärig, ton av jordgubbssylt, hallonkaraktär, lätt lakritston, svaga toner av barr",11.95,,,Bonterra,,,,/owif/images/107499?size=300,,,,,,,,,,,,,,,,Pasta Grillat Gris,Medelfylligt,Zinfandel
110238,Borgogno Barbera d'Alba,,18.95,,,Borgogno & Figli,,,,/owif/images/110238?size=300,,,,,,,,,,,,,,,,"Kyckling, kalkon Pasta Biff",Medelfylligt,Barbera
