id,name,description,price_sek,price_eur,category,brand,country,volume,alcohol_percentage,image_url,in_stock,article_number,food_pairing,character,grape_variety
108762,Masi Nectar Costasera Amarone,"Fyllig, höga tanniner, fikonkaraktär, plommonsyltig, toner av mörka körsbär, lätta russintoner, chokladig, lätt timjanton, varm",36.95,,,Masi Agricola,,,,/owif/images/108762?size=300,,,Nöt Vilt Ostar,Fylligt,Corvina Rondinella Molinara
108367,Masi Passo Doble,"Fyllig, medelhöga tanniner, bärig, kryddig",10.95,,,Masi Agricola,,,,/owif/images/108367?size=300,,,Nöt Lamm Ostar,Fylligt,Malbec Corvina
119746,Masi Rosa dei Masi,"en mycket ljus rosa färg, med blommig doft. Smaken and frisk med toner av plommon och inslag av hallon. Medelhög syrlighet med en torr eftersmak. ",11.5,,,Masi Agricola,,,,/owif/images/119746?size=300,,,"Sallader, vegetariskt Kyckling, kalkon Fiskrätter Aperitif, sällskapsvin",Torrt,Merlot
127001,Mateus The Original Rosé,"Mateus Rosé Original är ett lätt, fräscht, fruktigt och lätt mousserande rosévin.Perfekt att servera kallt och dricka som aperitif men också trevligt att servera till mat som exempelvis asiatisk mat.",8.8,,,Mateus,,,,/owif/images/127001?size=300,,,"Sallader, vegetariskt Asiatiskt Aperitif, sällskapsvin",Halvtorrt,
110227,Maze BIB,,17.95,,,Maze,,,,/owif/images/110227?size=300,,,,,
110053,Merino BIB,"Detta vin har fått sitt namn från Merino-fåren som betar i vingårdarna, vilket är fårrasen nummer ett i Alentejo-regionen, varav Relvas har mer än 400. Druvorna till Merino-rödvinet skördas för hand. Stjälkarna tas bort och vinet extraheras 48 timmar före jäsning. Jäsningen sker i kylda kar (lagares). 10% av vinet har lagrats på begagnade 400 l fat av fransk ek i ett halvår.",17.95,,,Merino,,,,/owif/images/110053?size=300,,,Nöt Vilt Ostar,Fylligt,Touriga Nacional Alicante Bouschet
110214,Mezzacorona Teroldego Merlot,,9.95,,,Mezzacorona,,,,/owif/images/110214?size=300,,,"Grillat Aperitif, sällskapsvin",Fylligt,Merlot Teroldego
210214,Mezzacorona Teroldego Merlot,,5.95,,,Mezzacorona,,,,/owif/images/210214?size=300,,,"Grillat Aperitif, sällskapsvin",Fylligt,Merlot Teroldego
108774,Michel Lynch Organic Red,"Detta vin hyllar Michel Lynch, ett namn som är oupplösligt förknippat med de stora vinerna från Bordeaux.Det har gått genom händerna på ett känt vinmakarteam. Tillverkad av ett noggrant urval av ekologiskt odlade druvor, innehåller den så lite svavel som möjligt och har en miljövänlig förpackning som minimerar sitt koldioxidavtryck.Michel Lynch är ett elegant och fruktframåtriktat vin, en perfekt återspegling av dess rika terroir, en av de mest prestigefyllda i världen.",11.5,,,Michel Lynch,,,,/owif/images/108774?size=300,,,Nöt Ostar Kalv,Medelfylligt,
118337,Michel Lynch Organic White 2019,"Detta vin hyllar Michel Lynch, ett namn som är oupplösligt förknippat med de stora vinerna från Bordeaux.Det har gått genom händerna på ett känt vinmakarteam. Tillverkad av ett noggrant urval av ekologiskt odlade druvor, innehåller den så lite svavel som möjligt och har en miljövänlig förpackning som minimerar sitt koldioxidavtryck.Michel Lynch är ett elegant och fruktframåtriktat vin, en perfekt återspegling av dess rika terroir, en av de mest prestigefyllda i världen.",11.5,,,Michel Lynch,,,,/owif/images/118337?size=300,,,"Sallader, vegetariskt Fiskrätter Svamp",Torrt,
107227,Montecillo Gran Reserva,"Mogen fruktighet. Mångsidigt och elegant. Fylligt, fina tanniner, inslag av läder och lakrits. Lång eftersmak.",20.95,,,Montecillo,,,,/owif/images/107227?size=300,,,Nöt Lamm Vilt Grillat Biff,Fylligt,Tempranillo
110096,Montecillo Gran Reserva 1994 Magnum,,269.95,,,Montecillo,,,,/Dist/Img/new-taxfree/usercategory-7.png,,,,,
119919,Montecillo Rias Baixas Albarino,,11.5,,,Montecillo,,,,/owif/images/119919?size=300,,,"Skaldjur Fiskrätter Aperitif, sällskapsvin",Torrt,Albarino
109334,Morgan Bay California Cabernet Sauvignon,"I doften björnbär och plommon med en kryddig finish. Smaken är fruktdriven, med väl avvägda tanniner och en uns ek i avslutningen",13.95,,,Morgan Bay,,,,/owif/images/109334?size=300,,,Nöt Lamm Grillat,Medelfylligt,Cabernet Sauvignon
118555,Morgan Bay California Chardonnay,"Mogna gula äpplen, päron, Smörig med inslag av anis. Knäckigt avslut.",13.95,,,Morgan Bay,,,,/owif/images/118555?size=300,,,"Sallader, vegetariskt Fiskrätter Buffé",Torrt,Chardonnay
109180,Morgan Bay California Zinfandel,"Medelfyllig, med rik frukt och peppriga toner. Mogna mörka bär med en väl balanserad syra och en tanninstruktur som är sådär lagom som vi svenskar gillar.",13.95,,,Morgan Bay,,,,/owif/images/109180?size=300,,,Lamm Grillat Ostar Biff Buffé,Medelfylligt,Zinfandel
110159,Moshi Moshi Organic Red,"Harmoniskt rött vin av utmärkt kvalitet från Sicilien! Den mogna bären och den rostade aromen påminner om vinbär, mörka körsbär och mild rostighet. Medelfyllig, saftig smak av mogna blåbär och mild mocka. Balanserad med mjuka tanniner.  Vinet lämnar en eftersmak av mogna björnbär och söta kryddor.",9.5,,,Moshi Moshi,,,,/owif/images/110159?size=300,,,Pasta Grillat Ostar Gris Buffé Vegetariskt,Medelfylligt,Cabernet Sauvignon Merlot Nero D'Avola
119766,Moshi Moshi Organic White,"Ett välgjort, nästan torrt ekologiskt vin av hög kvalitet från Alsace! Gula äpplen, persikor och aprikoser, även en lite honungsliknande fruktig arom. Den nästan torra, medelfylliga smaken följer den aromatiska doften. Vinet har en mild citrusfruktsyra som får tungan att vattnas. Det hela lämnar en saftig, halsvärmande eftersmak som påminner om blommor, ananas och bivax.",8.85,,,Moshi Moshi,,,,/owif/images/119766?size=300,,,"Kyckling, kalkon Buffé Sushi",Torrt,Muscat Pinot Blanc Gewurtstraminer Silvaner
119456,Moshi Moshi Riesling BIB,"Torr, och fräsh smak. Fjäderlätta aromer av mogen lime, gränt äpple, mineralitet och även en gnutta tropiska frukter - alla typiska, fjäderlätta aromer för Mosel-dalens viner. Den låga alkoholhalten lättar på helheten. Riesling är ett mångsidigt matvin.  Passar till allt från lätta vegetariska rätter till vit fisk, skaldjur och sallader. Även ett bra sällskapsvin för alla som gillar fräsha, syrliga vita viner.BÄSTA BOX-VINET 2021 Tidningen Glorian Ruoka & Viini 9/2021",25.5,,,Moshi Moshi,,,,/owif/images/119456?size=300,,,"Sallader, vegetariskt Skaldjur Aperitif, sällskapsvin",Torrt,Riesling
310160,Most Wanted Malbec,"Intensiv, rubinröd färg. Rik doft med aromer av boysenbär, hallon och rostat kaffe. Munkänslan är rikt fruktig, alkoholen är extremt välbalanserad och tanninerna är behagligt mjuka. Aromvärlden anpassar sig till doften, med lite ekfat och vanilj.Varför välja en burk? Aluminiumburken svalnar snabbt och skyddar vinet bättre än en traditionell piccoloflaska. Den är lätt att transportera och förvara i lager eller kylskåp. På grund av det lättare och mer hållbara materialet är koldioxidavtrycket för frakt av burklådan 62 % lägre än för piccoloflasklådan. Samma utrymme rymmer 32 % fler burkar än piccoloflaskor.",3.95,,,Most Wanted,,,,/owif/images/310160?size=300,,,Pasta Grillat Buffé Vegetariskt,Medelfylligt,Malbec
109938,Most Wanted Regions Primitivo,"MW Primitivo är ett härligt fylligt rött vin i syditaliensk stil, och ett okomplicerat vin för umgänge. Vinerna i serien Most Wanted Regions är viner som är typiska för deras region, med ett bra pris-kvalitetsförhållande.Doften är av mörka syltiga bär, kryddighet. Den medelfylliga, mjuka tanniniska smaken är lika saftig som doften: björnbär, mörkt sötkörsbär, vildhallon. Den utsökta smaken kompletteras av mjuk kryddighet; lack, kanel och kryddnejlika. Om vinet känns för starkt så fixar lite kylning (en halvtimme i kylen) det.Perfekt för att umgås i höstens svalare stunder. För en mörk kväll på bryggan med sjal, framför brasan. Perfekt för rustika höstens och vinterns rätter med rotfukter: grytor, ugnsrätter eller förstås, mustiga pastarätter. Kryddig köttig pizza eller aromatiska ostar. Eller till och med värmande nepalesisk mat!",10.95,,,Most Wanted,,,,/owif/images/109938?size=300,,,Lamm Vilt Grillat,Fylligt,Primitivo
118582,Most Wanted Riesling,"Fruktig,  frisk smak med inslag av mogen citron, melon, och lime. Serveras till stekt fisk- och skaldjursrätter eller till sallader.",9.95,,,Most Wanted,,,,/owif/images/118582?size=300,,,"Sallader, vegetariskt Skaldjur Fiskrätter",Torrt,Riesling
319770,Most Wanted Sauvignon Blanc,Friskt syrligt och balanserat fruktigt. Vårens gröna aromer möter citrus och passionsfrukt.Varför välja en burk? Aluminiumburken svalnar snabbt och skyddar vinet bättre än en traditionell piccoloflaska. Den är lätt att transportera och förvara i lager eller kylskåp. På grund av det lättare och mer hållbara materialet är koldioxidavtrycket för frakt av burklådan 62 % lägre än för piccoloflasklådan. Samma utrymme rymmer 32 % fler burkar än piccoloflaskor.,3.95,,,Most Wanted,,,,/owif/images/319770?size=300,,,"Sallader, vegetariskt Skaldjur Buffé Aperitif, sällskapsvin Risotto",Torr,Sauvignon Blanc
110193,Mucho Mas Gold,"Mycket intensiv körsbärsröd färg med rubin-toner. Kraftig men frisk initial smak som leder till en fyllig smakpalett med fruktiga och kryddiga inslag, där det finns rika tanniner och mycket bra syra. Detta fina och eleganta vin är intensivt och mångfacetterat. Starka aromer av röda och svarta frukter balanseras med fina rostade toner.Våra erfarna vinmakare har skickligt kombinerat Tempranillos olika egenskaper från olika terroirer för att framhäva dess typiska fruktbalans, och har sedan lagrat vinet i månader i amerikanska ekfat för att ge det en komplex och behaglig mångsidighet och struktur.",10.5,,,Felix Solis Avantis,,,,/owif/images/110193?size=300,,,Nöt Grillat Ostar,Fylligt,Tempranillo
110194,Mucho Mas Red Wine BIB,"Doften av det körsbärsröda vinet är aromatisk, elegant och intensiv. Inslag av mogna mörka frukter och balsamico. I bakgrunden finns ädelt läder och vanilj. Smaken är mångfacetterad, bred och livlig. Förutom fruktiga och mineraliska nyanser finns fina inslag av kakao. Lång och elegant eftersmak.Syftet med blandningen är att skapa ett annorlunda och speciellt vin genom att använda Tempranillo-, Grenache- och Syrah-druvor från flera spanska vinodlingsområden, som bidrar med sina egna särdrag. Druvorna kommer från gamla vinstockar och skördas för hand. Vinifikationen sker i rostfria ståltankar i 10-14 dagar vid kontrollerade temperaturer på 26-28ºC. Vinet lagras i amerikanska ekfat i 3-4 månader tills malolaktisk jäsning är avslutad. Efter blandningen kombineras ",16.95,,,Felix Solis Avantis,,,,/owif/images/110194?size=300,,,"Kyckling, kalkon Asiatiskt Grillat",Fylligt,Tempranillo Syrah Garnacha
119818,Mucho Mas White Wine BIB,"Klar, halmgul färg med gröna toner. Doften är mångfacetterad och subtil, med aromer av persika och aprikos som blandas med citrus och rökighet. Smakprofilen är rik och fyllig, med söta tropiska frukter, subtil vanilj och en välbalanserad syra.Målet var att skapa en distinkt vinstil genom att utnyttja egenskaperna hos tre olika men kompletterande druvsorter. Druvorna har skördats från flera framstående vinproducerande områden i Spanien. Jäsningen sker i rostfria ståltankar under 20-25 dagar vid maximala temperaturer på 15 ºC. När vinifikationen är klar, lagras vinet vid låg temperatur i 2-3 månader på jästfällningen för att utveckla sekundära smaknyanser. För Chardonnay-druvorna lagras vinet i franska ekfat i 3 månader, med batonnage (omrörning av jästfällningen) som sker flera gånger i veckan.",16.95,,,Felix Solis Avantis,,,,/owif/images/119818?size=300,,,"Pasta Fiskrätter Aperitif, sällskapsvin",Torrt,Sauvignon Blanc Chardonnay Verdejo
119455,Mud House Riesling,"Halvtorr, hög syra, inslag av honungsmelon, citruskaraktär, aprikosig, petroleumkaraktär, svag gräddton",11.5,,,Mud House,,,,/owif/images/119455?size=300,,,Skaldjur Asiatiskt Fiskrätter,Halvtorrt,Riesling
127208,Mud House Rosé,"Torr, hög syra, rödvinbärskaraktär, rabarberkaraktär, toner av röda krusbär, lätta inslag av vinbärslöv",11.95,,,Mud House,,,,/owif/images/127208?size=300,,,"Skaldjur Kyckling, kalkon Fiskrätter",Torrt,Pinot Noir Sauvignon Blanc
118345,Mud House Sauvignon Blanc,"Torr, hög syra, limekaraktär, grönvinbärskaraktär, toner av tomatblad, nässlig, renrasig",11.95,,,Mud House,,,,/owif/images/118345?size=300,,,"Sallader, vegetariskt Skaldjur Fiskrätter",Torrt,Sauvignon Blanc
118318,Mud House Woolshed Single Vineyard Sauvignon Blanc,"Ungdomlig, aromatisk, mycket frisk smak med inslag av Grejpfrukt, och krusbär, ett mycket elegant, smakrikt och elegant vin. ",13.95,,,Mud House,,,,/owif/images/118318?size=300,,,"Skaldjur Fiskrätter Aperitif, sällskapsvin",Torrt,Sauvignon Blanc
110173,Muenzenrieder Neusiedlersee DAC,"AWC Årets producent i 2023 är särskilt känd för exceptionella Zweigelt-viner.Vingården ligger i Apetlon, i hjärtat av Lake Neusiedl National Park. Det speciella mikroklimatet ger optimala förhållanden för rika röda (50%), fruktiga vita (25%) och eleganta söta viner (25%). De krävande kriterierna för att arbeta i vingården och den selektiva skörden möjliggör produktion av viner som är typiska för druvsorten och uttrycker sitt ursprung, särskilt från enskilda vingårdar. Särskilt gårdens Neubruch-avdelning är en av de mest prestigefyllda i regionen. Viner finns regelbundet på världens bästa restauranger.Minimalistiskt, exakt källararbete, med hjälp av den senaste källartekniken, möjliggör utökad och optimal lagring i tankar, fat och flaskor. Den unika essensen av Zweigelt uttrycks i kombinationen av druvor som odlas i olika jordar. Fruktigheten hos röda frukter dominerar smaken, stödd av frisk syra och saftighet.",14.95,,,PMC Muenzenrieder,,,,/owif/images/110173?size=300,,,"Nöt Kyckling, kalkon Pasta Vilt Grillat Ostar Biff Gris Buffé Vegetariskt Svamp",Fylligt,Zweigelt
119923,Muré Gewurztraminer Orchidées Sauvages,,18.5,,,Muré,,,,/owif/images/119923?size=300,,,"Skaldjur Kyckling, kalkon Asiatiskt",Halvtorrt,Gewurtstraminer
109354,Museum Reserva,"Fyllig, höga tanniner, kryddig, läderkaraktär, lång.",14.95,,,Museum,,,,/owif/images/109354?size=300,,,Nöt Lamm Vilt,Fylligt,Tempranillo Tinto Fino
109359,Nederburg Private Collection Cabernet Sauvignon,"Stilren Cabernet Sauvignon.DOFT: Intensiv arom av svarta vinbär, plommon, mörk choklad med inslag av tobaks blad och ekig kryddighet.SMAK: Komplex smak av mörka mogna björnbär, svarta vinbär med inslag av ekfat och kryddor. Sammetslen munkänsla med solida tanniner. Ett välstrukturerat vin som kan avnjutas redan nu men som också drar nytta av lagring.MAT: Passar utmärkt till örtiga lammrätter samt medium stekt nöt fileé eller biff. Pröva gärna till hård ost.",11.5,,,Nederburg,,,,/owif/images/109359?size=300,,,Nöt Grillat Ostar,Fylligt,Cabernet Sauvignon
109322,Nederburg Private Collection Shiraz,"En syrah i vilken komineras den lättare europeiska stilen med den generösa och syltiga fruktigheten från Austalien.DOFT: Stora aromer av mörka mogna bär, svart peppar och fin kryddighet.SMAK: Intensiv smak av mörka bär och frukter, vanilj och fatkrydda. Välbalanserat med silkeslena tanniner och en lång eftersmak.MAT: Utmärkt till grillat nötkött, rostat lamm, burgundisk köttgryta samt andra karaftiga och kryddiga köttgrytor. Pröva även med utvalda hårda ostar.",11.5,,,Nederburg,,,,/owif/images/109322?size=300,,,Nöt Lamm Grillat,Fylligt,Shiraz
118228,Nederburg The Anchorman Chenin Blanc,"This enticing Chenin blanc celebrates Nederburg’s founder, Philippus Wolvaart, who established the Nederburg farm in 1791. Various winemaking techniques were used to create a lively, rich and layered wine full of character. Discover fragrances and tastes of apricots and oranges, flowers, raisins and spice.This wine is made from Chenin blanc (85%) and Grenache blanc (15%).One portion of fruit was fermented in second- and third-fill 300-litre barrels. A second component was fermented in stainless-steel tanks, while a third was fermented in very old, large vats and the remainder involved a fermentation technique usually reserved for red wines. Called carbonic maceration, whole bunches which are neither crushed nor pressed, are allowed to ferment spontaneously. This technique was chosen for the freshness it would impart to the wine. After malolactic fermentation, the various components were kept on the lees for 9 months prior to final blending and bottling.",18.95,,,Nederburg,,,,/owif/images/118228?size=300,,,"Skaldjur Kyckling, kalkon Ostar Fiskrätter Vegetariskt",Torrt,Chenin Blanc
108918,Nederburg The Motorcycle Marvel,"En klassisk och stilren Chateauneuf du Pape blend från Sydafrika.DOFT: Fint nyanserad doft med inslag av söta kryddor, bär, dadel och tobak.SMAK: Intensiv och fyllig med toner av torkad röd och mörk frukt samt kryddor. Väl integrerad fatkaraktär och frukt, mogna och lena tannininer i den långa och balanserade eftersmaken.MAT: Utmärkt att servera till rostbiff,  smakrika kötträtter, kryddig kyckling eller kraftfullt smaksatta pastarätter. ",17.5,,,Nederburg,,,,/owif/images/108918?size=300,,,Nöt Lamm Grillat,Fylligt,
127157,Nederburg Winemaster's Reserve Chardonnay,"DOFT: En rik doft av citrus och persika med inslag av söt melon, vanilj och fat.SMAK: Fruktig arom av cirtus tillsammans med saftig syra och en fin fatkäräktär bildar en balanserad helhet.MAT: Utmärkt till Thai- och andra orientaliska rätter, grillad fisk t.ex. lax samt till gräddiga såser.",9.25,,,Nederburg,,,,/owif/images/127157?size=300,,,"Pasta Buffé Aperitif, sällskapsvin",Torrt,Chardonnay
